group1,group2
typing,market_checkout_2
typing,counting_in_4
typing,chat_side
typing,listing_out_index_3
typing,arms_X
typing,holding_stand
typing,wave_hello
typing,thumbs_down
typing,listing_in_index_2
typing,inplace_idle_waiting
typing,wave
typing,chat_left
typing,ok
typing,listing_out_index_4
typing,drink_from_glass
typing,listing_in_index_1
typing,listing_in_thumb_4
typing,listing_out_index_1
typing,arms_X_head_shake
typing,pour
typing,listing_out_thumb_1
typing,counting_in_2
typing,thumbs_up
typing,chat_right
typing,stand_idle_2
typing,listing_in_index_3
typing,stretch_arms_2
typing,general_looking
typing,corridor_idle_2
typing,counting_out_1
typing,waiting_stand
typing,idle
typing,listing_in_index_5
typing,counting_out_4
typing,hand_talking_2
typing,counting_in_5
typing,look_right
typing,listing_out_thumb_3
typing,listing_out_thumb_4
typing,none
typing,high_five
typing,counting_out_3
typing,shake_hand_no
typing,counting_out_2
typing,raise_hand
typing,listing_in_thumb_5
typing,getting_ready
typing,listing_out_thumb_5
typing,reach_into_fridge
typing,keyboard_typing
typing,phone_check_quick
typing,screen_wipe
typing,drink_from_cup
typing,hands_behind_head
typing,looking_stand_01
typing,look_left
typing,listing_out_thumb_2
typing,walking_towards_door
typing,whisper
typing,waving_arms_celebration
typing,hand_talking_1
typing,walking
typing,pointing_vertical_surface
typing,jog
typing,shhhh
sit_to_stand,stand_to_sit
sit_to_stand,point_finger_at
sit_to_stand,run
shrug_hands_out,listing_out_index_2
shrug_hands_out,cool_pose
shrug_hands_out,opens_arms_hand_talking
shrug_hands_out,listing_out_index_5
shrug_hands_out,stand_idle_3
shrug_hands_out,counting_in_4
shrug_hands_out,two_hand_phone_usage
shrug_hands_out,stand_idle_1
shrug_hands_out,hand_talking_3
shrug_hands_out,listing_out_index_3
shrug_hands_out,holding_stand
shrug_hands_out,looking_stand_02
shrug_hands_out,wave_hello
shrug_hands_out,thumbs_down
shrug_hands_out,listing_in_index_2
shrug_hands_out,inplace_idle_waiting
shrug_hands_out,wave
shrug_hands_out,chat_left
shrug_hands_out,ok
shrug_hands_out,hand_talking_4
shrug_hands_out,listing_in_thumb_1
shrug_hands_out,listing_out_index_4
shrug_hands_out,drink_from_glass
shrug_hands_out,hand_arms_dance
shrug_hands_out,leave_the_desk
shrug_hands_out,listing_in_index_1
shrug_hands_out,listing_in_thumb_4
shrug_hands_out,listing_out_index_1
shrug_hands_out,pour
shrug_hands_out,writing_horizontal
shrug_hands_out,listing_out_thumb_1
shrug_hands_out,counting_in_2
shrug_hands_out,thumbs_up
shrug_hands_out,counting_in_3
shrug_hands_out,chat_right
shrug_hands_out,holding_walk
shrug_hands_out,stand_idle_2
shrug_hands_out,listing_in_index_3
shrug_hands_out,walk_in_place
shrug_hands_out,close_door
shrug_hands_out,pushups
shrug_hands_out,apply_lipstick
shrug_hands_out,general_looking
shrug_hands_out,corridor_idle_2
shrug_hands_out,waiting_stand
shrug_hands_out,idle
shrug_hands_out,listing_in_index_5
shrug_hands_out,air_swipe
shrug_hands_out,counting_out_4
shrug_hands_out,hand_talking_2
shrug_hands_out,counting_in_5
shrug_hands_out,look_right
shrug_hands_out,none
shrug_hands_out,high_five
shrug_hands_out,counting_out_3
shrug_hands_out,shake_hand_no
shrug_hands_out,counting_out_2
shrug_hands_out,raise_hand
shrug_hands_out,getting_ready
shrug_hands_out,listing_out_thumb_5
shrug_hands_out,market_checkout_3
shrug_hands_out,reach_into_fridge
shrug_hands_out,open_door
shrug_hands_out,corridor_idle_3
shrug_hands_out,cleaning_idle
shrug_hands_out,keyboard_typing
shrug_hands_out,phone_check_quick
shrug_hands_out,screen_wipe
shrug_hands_out,drink_from_cup
shrug_hands_out,use_gaming_controller
shrug_hands_out,looking_stand_01
shrug_hands_out,market_checkout_1
shrug_hands_out,look_left
shrug_hands_out,listing_out_thumb_2
shrug_hands_out,walking_towards_door
shrug_hands_out,whisper
shrug_hands_out,walking
shrug_hands_out,point_finger_stand
shrug_hands_out,pointing_vertical_surface
shrug_hands_out,jog
shrug_hands_out,shhhh
elbow_bump,counting_out_5
elbow_bump,cool_pose
elbow_bump,shake_head_no
elbow_bump,opens_arms_hand_talking
elbow_bump,listing_out_index_5
elbow_bump,stand_idle_3
elbow_bump,market_checkout_2
elbow_bump,counting_in_4
elbow_bump,chat_side
elbow_bump,listing_out_index_3
elbow_bump,arms_X
elbow_bump,holding_stand
