group1,group2,N1,N2,frac,pi_low,pi_high
3.0_typical,1.0_typical,20,13,1.5,0.25,1.0
3.0_typical,1.0_typical,25,19,2.0,0.17,1.0
3.0_typical,1.0_typical,28,27,2.5,0.09,1.0
3.0_typical,1.0_typical,34,32,3.0,0.06,1.0
3.0_typical,1.0_typical,39,38,3.5,0.03,1.0
3.0_typical,1.0_typical,45,43,4.0,0.01,1.0
3.0_typical,1.0_typical,52,47,4.5,0.01,1.0
3.0_typical,1.0_typical,60,50,5.0,0.0,1.0
3.0_typical,1.0_typical,64,57,5.5,0.0,1.0
3.0_typical,1.0_typical,72,60,6.0,0.0,1.0
3.0_typical,1.0_typical,79,64,6.5,0.0,1.0
3.0_typical,1.0_typical,86,68,7.0,0.0,1.0
3.0_typical,1.0_typical,90,75,7.5,0.0,1.0
3.0_typical,1.0_typical,96,80,8.0,0.0,1.0
3.0_typical,1.0_typical,101,86,8.5,0.0,1.0
3.0_typical,1.0_typical,107,91,9.0,0.0,1.0
3.0_typical,1.0_typical,116,93,9.5,0.0,1.0
3.0_typical,1.0_high,3,1,1.0,-0.01,-0.01
3.0_typical,1.0_high,5,1,1.5,-0.01,-0.01
3.0_typical,1.0_high,6,2,2.0,0.02,0.06
3.0_typical,1.0_high,8,2,2.5,0.03,0.18
3.0_typical,1.0_high,9,3,3.0,0.0,0.18
3.0_typical,1.0_high,9,5,3.5,0.05,1.0
3.0_typical,1.0_high,10,6,4.0,0.01,1.0
3.0_typical,1.0_high,12,6,4.5,0.0,1.0
3.0_typical,1.0_high,13,7,5.0,0.0,1.0
3.0_typical,1.0_high,13,9,5.5,0.0,1.0
3.0_typical,1.0_high,14,10,6.0,0.0,1.0
3.0_typical,1.0_high,15,11,6.5,0.0,1.0
3.0_typical,1.0_high,17,11,7.0,0.0,1.0
3.0_typical,1.0_high,19,11,7.5,0.0,1.0
3.0_typical,1.0_high,20,12,8.0,0.0,1.0
3.0_typical,1.0_high,20,14,8.5,0.0,1.0
3.0_typical,1.0_high,20,16,9.0,0.0,1.0
3.0_typical,1.0_high,20,18,9.5,0.0,1.0
2.0_typical,4.0_typical,843,847,1.0,0.44,0.98
2.0_typical,4.0_typical,1270,1265,1.5,0.25,0.99
2.0_typical,4.0_typical,1695,1685,2.0,0.18,0.96
2.0_typical,4.0_typical,2097,2128,2.5,0.06,0.98
2.0_typical,4.0_typical,2508,2562,3.0,0.04,0.99
2.0_typical,4.0_typical,2937,2978,3.5,0.02,1.0
2.0_typical,4.0_typical,3359,3401,4.0,0.01,1.0
2.0_typical,4.0_typical,3786,3819,4.5,0.0,1.0
2.0_typical,4.0_typical,4199,4251,5.0,0.0,0.98
2.0_typical,4.0_typical,4638,4657,5.5,0.0,0.98
2.0_typical,4.0_typical,5069,5071,6.0,0.0,0.98
2.0_typical,4.0_typical,5500,5485,6.5,0.01,0.98
2.0_typical,4.0_typical,5949,5881,7.0,0.0,0.99
2.0_typical,4.0_typical,6364,6311,7.5,0.0,0.98
2.0_typical,4.0_typical,6762,6758,8.0,0.0,0.99
2.0_typical,4.0_typical,7172,7193,8.5,0.0,0.98
2.0_typical,4.0_typical,7607,7603,9.0,0.0,0.99
2.0_typical,4.0_typical,8022,8033,9.5,0.0,0.98
2.0_typical,1.0_low,5,1,1.0,-0.01,-0.01
2.0_typical,1.0_low,6,3,1.5,0.16,0.23
2.0_typical,1.0_low,7,5,2.0,0.62,1.0
2.0_typical,1.0_low,10,5,2.5,0.59,1.0
2.0_typical,1.0_low,10,8,3.0,0.49,1.0
2.0_typical,1.0_low,12,9,3.5,0.43,1.0
2.0_typical,1.0_low,14,10,4.0,0.41,1.0
2.0_typical,1.0_low,15,12,4.5,0.37,1.0
2.0_typical,1.0_low,16,14,5.0,0.35,1.0
2.0_typical,1.0_low,17,16,5.5,0.29,1.0
2.0_typical,1.0_low,20,16,6.0,0.23,1.0
2.0_typical,1.0_low,21,18,6.5,0.18,1.0
2.0_typical,1.0_low,23,19,7.0,0.15,1.0
2.0_typical,1.0_low,23,22,7.5,0.13,1.0
2.0_typical,1.0_low,24,24,8.0,0.11,1.0
2.0_typical,1.0_low,25,26,8.5,0.11,1.0
2.0_typical,1.0_low,26,28,9.0,0.07,1.0
2.0_typical,1.0_low,28,29,9.5,0.07,1.0
2.0_typical,1.0_typical,15,7,1.0,0.88,0.98
2.0_typical,1.0_typical,20,13,1.5,0.89,1.0
2.0_typical,1.0_typical,25,19,2.0,0.85,1.0
2.0_typical,1.0_typical,28,27,2.5,0.76,1.0
2.0_typical,1.0_typical,34,32,3.0,0.77,1.0
2.0_typical,1.0_typical,39,38,3.5,0.69,1.0
2.0_typical,1.0_typical,45,43,4.0,0.68,1.0
2.0_typical,1.0_typical,52,47,4.5,0.69,1.0
2.0_typical,1.0_typical,60,50,5.0,0.6,1.0
2.0_typical,1.0_typical,64,57,5.5,0.55,1.0
2.0_typical,1.0_typical,72,60,6.0,0.54,1.0
2.0_typical,1.0_typical,79,64,6.5,0.5,1.0
2.0_typical,1.0_typical,86,68,7.0,0.47,1.0
2.0_typical,1.0_typical,90,75,7.5,0.45,1.0
2.0_typical,1.0_typical,96,80,8.0,0.4,1.0
2.0_typical,1.0_typical,101,86,8.5,0.39,1.0
2.0_typical,1.0_typical,107,91,9.0,0.39,1.0
2.0_typical,1.0_typical,116,93,9.5,0.39,1.0
2.0_typical,1.0_high,3,1,1.0,-0.01,-0.01
2.0_typical,1.0_high,5,1,1.5,-0.01,-0.01
