group1,group2,N1,N2,frac,pi_low,pi_high,low,high,avg,ci_low,ci_high,obs_diff
4.0_low,6.0_low,600,600,4.0,0.95,0.74,,,,-0.052431372549017564,-0.008007352941175529,-0.02992647058823472
4.0_low,6.0_low,675,675,4.5,0.95,0.64,,,,-0.046331154684094156,-0.0019820261437896516,-0.024139433551197742
4.0_low,6.0_low,750,750,5.0,0.98,0.65,,,,-0.04926862745097938,-0.007999019607843036,-0.02705882352941147
4.0_low,3.0_low,150,150,1.0,1.0,0.63,,,,-0.07843137254901834,0.01805882352941232,-0.030196078431372175
4.0_low,3.0_low,225,225,1.5,1.0,0.5,,,,-0.0729477124183006,0.007588235294117479,-0.03215686274509799
4.0_low,3.0_low,300,300,2.0,1.0,0.38,,,,-0.06549999999999868,0.006470588235295005,-0.030784313725489176
4.0_low,3.0_low,375,375,2.5,1.0,0.25,,,,-0.0542823529411749,0.0031450980392164,-0.025411764705881468
4.0_low,3.0_low,450,450,3.0,1.0,0.16,,,,-0.06183333333332987,-0.00757516339869066,-0.03542483660130524
4.0_low,3.0_low,525,525,3.5,1.0,0.06,,,,-0.059610644257701025,-0.009742296918765533,-0.03507002801120296
4.0_low,3.0_low,600,600,4.0,1.0,0.09,,,,-0.05735784313725248,-0.011174019607841874,-0.034411764705881476
4.0_low,3.0_low,675,675,4.5,1.0,0.05,,,,-0.05455773420479104,-0.011148148148147644,-0.033202614379084006
4.0_low,3.0_low,750,750,5.0,1.0,0.04,,,,-0.056315686274507816,-0.01331960784313626,-0.03552941176470514
4.0_low,2.0_low,150,150,1.0,1.0,0.37,,,,-0.10588235294117578,-0.0019607843137254832,-0.05647058823529394
4.0_low,2.0_low,225,225,1.5,1.0,0.18,,,,-0.08837908496731978,-0.00547712418300611,-0.0465359477124182
4.0_low,2.0_low,300,300,2.0,1.0,0.09,,,,-0.08000980392156788,-0.010784313725489367,-0.044117647058822596
4.0_low,2.0_low,375,375,2.5,1.0,0.01,,,,-0.06949411764705785,-0.00830588235294058,-0.03905882352941081
4.0_low,2.0_low,450,450,3.0,1.0,0.0,,,,-0.08079411764705462,-0.026398692810455565,-0.052941176470585605
4.0_low,2.0_low,525,525,3.5,1.0,0.0,,,,-0.08504481792716673,-0.03562184873949294,-0.059831932773107055
4.0_low,2.0_low,600,600,4.0,1.0,0.0,,,,-0.08716911764705595,-0.038524509803920165,-0.06343137254901787
4.0_low,2.0_low,675,675,4.5,1.0,0.0,,,,-0.0828758169934608,-0.03921568627450765,-0.061089324618734175
4.0_low,2.0_low,750,750,5.0,1.0,0.0,,,,-0.0824411764705856,-0.04085686274509659,-0.06172549019607676
4.0_low,5.0_high,150,150,1.0,0.99,0.72,,,,-0.06943137254901907,0.022764705882352895,-0.023921568627450873
4.0_low,5.0_high,225,225,1.5,1.0,0.58,,,,-0.06876470588235341,0.004209150326797584,-0.03346405228758176
4.0_low,5.0_high,300,300,2.0,1.0,0.47,,,,-0.05609803921568458,0.007848039215686047,-0.025686274509803764
4.0_low,5.0_high,375,375,2.5,1.0,0.35,,,,-0.04988235294117594,0.008635294117648164,-0.02164705882352902
4.0_low,5.0_high,450,450,3.0,1.0,0.28,,,,-0.055169934640520606,-0.0031372549019602347,-0.029411764705881138
4.0_low,5.0_high,525,525,3.5,1.0,0.22,,,,-0.05367507002800914,-0.005596638655462068,-0.0287955182072821
4.0_low,5.0_high,600,600,4.0,1.0,0.18,,,,-0.04637745098039072,-0.0014534313725491424,-0.022941176470587687
4.0_low,5.0_high,675,675,4.5,1.0,0.14,,,,-0.04557952069716586,-0.0016514161220035906,-0.024052287581698417
4.0_low,5.0_high,750,750,5.0,1.0,0.1,,,,-0.04564901960784142,-0.006031372549018532,-0.026745098039214765
4.0_low,3.0_high,150,150,1.0,0.99,0.76,,,,-0.06745098039215582,0.025107843137255267,-0.023529411764705577
4.0_low,3.0_high,225,225,1.5,1.0,0.65,,,,-0.07399999999999958,-0.0002549019607837877,-0.03790849673202612
4.0_low,3.0_high,300,300,2.0,1.0,0.58,,,,-0.05695424836601227,0.0030630718954262268,-0.026562091503267382
4.0_low,3.0_high,375,375,2.5,1.0,0.41,,,,-0.055602614379082885,0.002217777777779019,-0.025171241830064583
4.0_low,3.0_high,450,450,3.0,1.0,0.43,,,,-0.06705991285402685,-0.011110893246185999,-0.039015250544660485
